index	count
0	0
1	5
2	0
3	0
4	6
5	0
6	0
7	4
8	1
9	1
10	3
11	0
12	1
13	2
14	0
15	0
16	12
17	0
18	0
19	0
20	5
21	1
22	1
23	1
24	2
25	0
26	0
27	15
28	3
29	1
30	0
31	0
32	0
33	0
34	0
35	0
36	15
37	0
38	0
39	1
40	0
41	2
42	0
43	0
44	15
45	0
46	33
47	0
48	1
49	4
50	1
51	4
52	1
53	1
54	2
55	2
56	1
57	2
58	0
59	5
60	0
61	0
62	0
63	1
64	0
65	1
66	0
67	2
68	3
69	1
70	2
71	0
72	0
73	2
74	0
75	0
76	1
77	1
78	3
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	2
87	0
88	0
89	0
90	0
91	83
92	1
93	25
94	0
95	10
96	46
97	1
98	0
99	1
100	0
101	2
102	0
103	18
104	34
105	0
106	38
107	1
108	69
109	40
110	0
111	1
112	0
113	2
114	0
115	887
116	55
117	8
118	15
119	87
120	1
121	2
122	38
123	0
124	2
125	11
126	62
127	46
128	1
129	1
130	4
131	2
132	2
133	2
134	3
135	241
136	8
137	108
138	0
139	26
140	42
141	35
142	7
143	0
144	0
145	0
146	1
147	3
148	19
149	2
150	734
151	0
152	49
153	278
154	13
155	1
156	0
157	0
158	1
159	1
160	2
161	1
162	175
163	1
164	0
165	1
166	1
167	0
168	0
169	1
170	1
171	0
172	1
173	0
174	0
175	0
176	0
177	0
178	7
179	0
180	0
181	0
182	3
183	1
184	0
185	15
186	0
187	1
188	13
189	0
190	2
191	0
192	0
193	32
194	0
195	1
196	8
197	13
198	1
199	0
200	0
201	3
202	2
203	0
204	0
205	0
206	1
207	1
208	16
209	2
210	276
211	1253
212	90
213	85
214	0
215	0
216	1
217	0
218	0
219	1
220	0
221	0
222	93
223	70
224	0
225	0
226	2
227	5
228	1
229	0
230	2
231	4
232	0
233	0
234	0
235	0
236	0
237	1
238	0
239	2
240	0
241	0
242	1
243	0
244	1
245	0
246	0
247	0
248	1
249	3
250	1
251	0
252	1
253	0
254	0
255	1
256	0
257	0
258	1
259	1
260	0
261	1
262	0
263	0
264	1
265	0
266	0
267	2
268	0
269	0
270	0
271	0
272	0
273	4
274	1
275	0
276	7
277	0
278	1
279	0
280	1
281	0
282	2
283	0
284	0
285	1
286	0
287	1
288	0
289	0
290	2
291	15
292	0
293	0
294	919
295	38
296	1
297	269
298	2
299	0
300	0
301	0
302	0
303	0
304	2
305	0
306	0
307	0
308	1
309	0
310	0
311	3
312	2
313	0
314	1
315	1
316	1
317	0
318	0
319	0
320	0
321	1
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	4
330	9
331	4
332	3
333	7
334	4
335	6
336	5
337	2
338	9
339	5
340	0
341	0
342	0
343	3
344	11
345	50
346	7
347	2
348	1
349	0
350	51
351	0
352	1
353	1
354	1
355	1
356	0
357	1
358	10
359	0
360	1
361	5
362	1
363	0
364	0
365	2
366	0
367	0
368	21
369	0
370	35
371	52
372	0
373	2
374	1
375	4
376	0
377	1
378	28
379	1
